VIP Country Club
Date,,Total Facility Energy,Total Facility Demand,Data Quality Total Facility Energy,Data Quality Total Facility Demand
,,kWh,kW,na,na
Data Quality Definitions: 0 - None; 1 - Data Exists; 2 - Data Passes Range Checks; 3 - Data Passes Relational Checks
04/07/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/07/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/08/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/09/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/10/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/11/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/12/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/13/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/14/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  02:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  03:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  04:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  05:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  06:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  07:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  08:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  09:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  10:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  11:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  12:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  13:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  14:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  15:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  16:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  17:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  18:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  19:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  20:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  21:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  22:00:00,       15.20,       15.20,        1.00,        1.00
04/15/2009,  23:00:00,       15.20,       15.20,        1.00,        1.00
04/16/2009,  00:00:00,       15.20,       15.20,        1.00,        1.00
04/16/2009,  01:00:00,       15.20,       15.20,        1.00,        1.00
